Date,Day,Predicted_Price
2026-09-02,Wednesday,446542.58
2026-09-03,Thursday,446068.08
2026-09-04,Friday,445825.58
2026-09-05,Saturday,450455.08
2026-09-06,Sunday,450037.78
2026-09-07,Monday,449729.19
2026-09-08,Tuesday,450667.05
2026-09-09,Wednesday,451444.09
2026-09-10,Thursday,452511.54
2026-09-11,Friday,453488.29
2026-09-12,Saturday,454196.52
2026-09-13,Sunday,454674.55
2026-09-14,Monday,454345.09
2026-09-15,Tuesday,454845.71
2026-09-16,Wednesday,454547.96
2026-09-17,Thursday,455088.82
2026-09-18,Friday,454434.56
2026-09-19,Saturday,454573.35
2026-09-20,Sunday,454717.3
2026-09-21,Monday,454241.44
2026-09-22,Tuesday,456943.72
2026-09-23,Wednesday,459042.1
2026-09-24,Thursday,460942.39
2026-09-25,Friday,462065.11
2026-09-26,Saturday,462825.6
2026-09-27,Sunday,463716.0
2026-09-28,Monday,464433.44
2026-09-29,Tuesday,463238.55
2026-09-30,Wednesday,463940.92
2026-10-01,Thursday,463896.98
2026-10-02,Friday,463808.49
2026-10-03,Saturday,463106.7
2026-10-04,Sunday,461925.33
2026-10-05,Monday,461121.47
2026-10-06,Tuesday,460745.53
2026-10-07,Wednesday,460377.71
2026-10-08,Thursday,460147.27
2026-10-09,Friday,460012.59
2026-10-10,Saturday,459944.58
2026-10-11,Sunday,459922.86
2026-10-12,Monday,459968.73
2026-10-13,Tuesday,460025.48
2026-10-14,Wednesday,460094.28
2026-10-15,Thursday,460166.32
2026-10-16,Friday,460240.28
2026-10-17,Saturday,460315.26
2026-10-18,Sunday,460390.62
2026-10-19,Monday,460465.92
2026-10-20,Tuesday,460540.86
2026-10-21,Wednesday,460615.22
2026-10-22,Thursday,460688.87
2026-10-23,Friday,460761.71
2026-10-24,Saturday,460833.69
2026-10-25,Sunday,460904.76
2026-10-26,Monday,460974.9
2026-10-27,Tuesday,460958.37
2026-10-28,Wednesday,460967.84
2026-10-29,Thursday,460995.21
2026-10-30,Friday,461034.8
2026-10-31,Saturday,461082.67
2026-11-01,Sunday,461136.03
2026-11-02,Monday,461192.97
2026-11-03,Tuesday,461252.12
2026-11-04,Wednesday,461312.55
2026-11-05,Thursday,461373.61
2026-11-06,Friday,461434.83
2026-11-07,Saturday,461495.91
2026-11-08,Sunday,461556.63
2026-11-09,Monday,461616.84
2026-11-10,Tuesday,461676.44
2026-11-11,Wednesday,461735.36
2026-11-12,Thursday,461740.22
2026-11-13,Friday,461761.1
2026-11-14,Saturday,461792.94
2026-11-15,Sunday,461832.22
2026-11-16,Monday,461876.45
2026-11-17,Tuesday,461923.92
2026-11-18,Wednesday,461973.41
2026-11-19,Thursday,462024.09
2026-11-20,Friday,462075.38
2026-11-21,Saturday,462126.86
2026-11-22,Sunday,462178.25
2026-11-23,Monday,462229.37
2026-11-24,Tuesday,462280.07
2026-11-25,Wednesday,462330.28
2026-11-26,Thursday,462379.93
2026-11-27,Friday,462428.98
2026-11-28,Saturday,462477.4
2026-11-29,Sunday,462525.19
2026-11-30,Monday,462572.33
2026-12-01,Tuesday,462618.83
2026-12-02,Wednesday,462664.68
2026-12-03,Thursday,462709.9
2026-12-04,Friday,462754.48
2026-12-05,Saturday,462798.42
2026-12-06,Sunday,462841.75
2026-12-07,Monday,462884.46
2026-12-08,Tuesday,462926.56
2026-12-09,Wednesday,462968.07
2026-12-10,Thursday,463008.99
2026-12-11,Friday,463049.32
2026-12-12,Saturday,463089.08
2026-12-13,Sunday,463128.27
2026-12-14,Monday,463166.9
2026-12-15,Tuesday,463204.98
2026-12-16,Wednesday,463242.52
2026-12-17,Thursday,463279.53
2026-12-18,Friday,463329.01
2026-12-19,Saturday,463373.88
2026-12-20,Sunday,463415.38
2026-12-21,Monday,463454.38
2026-12-22,Tuesday,463491.49
2026-12-23,Wednesday,463527.13
2026-12-24,Thursday,463561.61
2026-12-25,Friday,463595.13
2026-12-26,Saturday,463627.86
2026-12-27,Sunday,463659.89
2026-12-28,Monday,463691.32
2026-12-29,Tuesday,463722.18
2026-12-30,Wednesday,463752.53
2026-12-31,Thursday,463782.39
